city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Maracaibo,10.6333,-71.6333,Venezuela,VE,Zulia,admin,2658355,1551539
Caracas,10.4806,-66.9036,Venezuela,VE,Distrito Capital,primary,2245744,2245744
Valencia,10.1667,-68.0000,Venezuela,VE,Carabobo,admin,1484430,1484430
Barquisimeto,10.0678,-69.3467,Venezuela,VE,Lara,admin,1059092,1059092
Barinas,8.6333,-70.2000,Venezuela,VE,Barinas,admin,816264,816264
Ciudad Guayana,8.3667,-62.6500,Venezuela,VE,Bolívar,minor,751331,751331
Catia La Mar,10.6000,-67.0333,Venezuela,VE,La Guaira,minor,661897,661897
Ciudad Bolívar,8.1219,-63.5500,Venezuela,VE,Bolívar,admin,567953,567953
Santa Teresa del Tuy,10.2333,-66.6500,Venezuela,VE,Miranda,minor,525321,525321
Maturín,9.7423,-63.1889,Venezuela,VE,Monagas,admin,514046,514046
Barcelona,10.1333,-64.6833,Venezuela,VE,Anzoátegui,admin,448016,448016
Maracay,10.2469,-67.5958,Venezuela,VE,Aragua,admin,407109,407109
Cumaná,10.4500,-64.1667,Venezuela,VE,Sucre,admin,374706,374706
Petare,10.4833,-66.8167,Venezuela,VE,Miranda,minor,369000,369000
Cabimas,10.4000,-71.4333,Venezuela,VE,Zulia,minor,351735,351735
Puerto La Cruz,10.2000,-64.6333,Venezuela,VE,Anzoátegui,minor,306261,306261
Mérida,8.4800,-71.1900,Venezuela,VE,Mérida,admin,300000,248192
Punto Fijo,11.7167,-70.1833,Venezuela,VE,Falcón,minor,287558,287558
San Cristóbal,7.7682,-72.2322,Venezuela,VE,Táchira,admin,285872,285872
Coro,11.3950,-69.6816,Venezuela,VE,Falcón,admin,284266,284266
Turmero,10.2283,-67.4753,Venezuela,VE,Aragua,minor,254880,254880
Los Teques,10.3411,-67.0406,Venezuela,VE,Miranda,admin,251200,251200
Baruta,10.4322,-66.8739,Venezuela,VE,Miranda,minor,240755,240755
San Felipe,10.3353,-68.7458,Venezuela,VE,Yaracuy,admin,220786,220786
Cúa,10.1667,-66.8833,Venezuela,VE,Miranda,minor,214823,214823
La Victoria,10.2278,-67.3336,Venezuela,VE,Aragua,minor,214492,214492
El Tigre,8.8858,-64.2611,Venezuela,VE,Anzoátegui,minor,213524,213524
Puerto Cabello,10.4667,-68.0167,Venezuela,VE,Carabobo,minor,209080,209080
Guarenas,10.4739,-66.5383,Venezuela,VE,Miranda,minor,208663,208663
La Guaira,10.6000,-66.9331,Venezuela,VE,La Guaira,admin,203520,203520
Guacara,10.2333,-67.8833,Venezuela,VE,Carabobo,minor,200212,200212
Tocuyito,10.0889,-68.0922,Venezuela,VE,Carabobo,minor,197446,197446
Acarigua,9.5597,-69.2019,Venezuela,VE,Portuguesa,minor,195637,195637
San Fernando,7.8940,-67.4730,Venezuela,VE,Apure,admin,194274,194274
Guanare,9.0436,-69.7489,Venezuela,VE,Portuguesa,admin,192644,192644
Valera,9.3206,-70.6078,Venezuela,VE,Trujillo,minor,191167,191167
Araure,9.5667,-69.2167,Venezuela,VE,Portuguesa,minor,188800,188800
Guatire,10.4717,-66.5406,Venezuela,VE,Miranda,minor,187262,187262
San Diego,10.2558,-67.9539,Venezuela,VE,Carabobo,minor,187215,187215
Carúpano,10.6722,-63.2403,Venezuela,VE,Sucre,minor,173877,173877
Santa Rita,10.2003,-67.5514,Venezuela,VE,Aragua,minor,169158,169158
Calabozo,8.9219,-67.4283,Venezuela,VE,Guárico,minor,168605,168605
Anaco,9.4333,-64.4667,Venezuela,VE,Anzoátegui,minor,162704,162704
Palo Negro,10.1600,-67.5582,Venezuela,VE,Aragua,minor,153706,153706
Ocumare del Tuy,10.1136,-66.7814,Venezuela,VE,Miranda,minor,150000,150000
Villa de Cura,10.0383,-67.4892,Venezuela,VE,Aragua,minor,145098,145098
Yaritagua,10.0753,-69.1283,Venezuela,VE,Yaracuy,minor,140256,140256
Los Guayos,10.1833,-67.9333,Venezuela,VE,Carabobo,minor,130345,130345
Táriba,7.8167,-72.2167,Venezuela,VE,Táchira,minor,128590,128590
Guasdualito,7.2467,-70.7292,Venezuela,VE,Apure,minor,128025,128025
Machiques,10.0667,-72.5667,Venezuela,VE,Zulia,minor,122734,122734
Cagua,10.1875,-67.4611,Venezuela,VE,Aragua,minor,122571,122571
Ciudad Ojeda,10.2000,-71.3000,Venezuela,VE,Zulia,minor,122124,122124
Porlamar,10.9556,-63.8478,Venezuela,VE,Nueva Esparta,minor,120924,120924
San Carlos,9.6500,-68.5833,Venezuela,VE,Cojedes,admin,120000,120000
Charallave,10.2431,-66.8622,Venezuela,VE,Miranda,minor,117707,117707
La Asunción,11.0333,-63.8628,Venezuela,VE,Nueva Esparta,admin,117513,117513
Valle de La Pascua,9.2033,-66.0103,Venezuela,VE,Guárico,minor,115902,115902
Carora,10.1692,-70.0783,Venezuela,VE,Lara,minor,112600,112600
Santa Lucía,10.2606,-66.6639,Venezuela,VE,Miranda,minor,112357,112357
Quíbor,9.9281,-69.5778,Venezuela,VE,Lara,minor,110536,110536
Socopó,8.2322,-70.8206,Venezuela,VE,Barinas,minor,110512,110512
Tinaquillo,9.9167,-68.3000,Venezuela,VE,Cojedes,minor,110000,110000
Ejido,8.5466,-71.2409,Venezuela,VE,Mérida,minor,107056,107056
El Limón,10.3003,-67.6336,Venezuela,VE,Aragua,minor,106206,106206
San Juan de los Morros,9.9010,-67.3540,Venezuela,VE,Guárico,admin,87739,87739
Tucupita,9.0575,-62.0452,Venezuela,VE,Delta Amacuro,admin,86487,86487
Puerto Ayacucho,5.6631,-67.6264,Venezuela,VE,Amazonas,admin,80000,80000
Cabudare,10.0331,-69.2633,Venezuela,VE,Lara,minor,70578,70578
Trujillo,9.4170,-70.5000,Venezuela,VE,Trujillo,admin,38110,38110
Lecherías,10.1889,-64.6951,Venezuela,VE,Anzoátegui,minor,36450,36450
Santa Ana,11.0680,-63.9221,Venezuela,VE,Nueva Esparta,minor,33435,33435
Santa Cruz,10.1819,-67.5025,Venezuela,VE,Aragua,minor,29773,29773
Chacao,10.4960,-66.8535,Venezuela,VE,Miranda,minor,,
San Francisco,10.5545,-71.7061,Venezuela,VE,Zulia,minor,,
Pampatar,10.9994,-63.7944,Venezuela,VE,Nueva Esparta,minor,,
San Antonio de Los Altos,10.3744,-66.9669,Venezuela,VE,Miranda,minor,,
Naguanagua,10.2533,-68.0131,Venezuela,VE,Carabobo,minor,,
El Hatillo,10.4333,-66.8000,Venezuela,VE,Miranda,minor,,
Juangriego,11.0833,-63.9667,Venezuela,VE,Nueva Esparta,minor,,
Palmira,7.8406,-72.2336,Venezuela,VE,Táchira,minor,,
Capacho Nuevo,7.8266,-72.3062,Venezuela,VE,Táchira,minor,,
Capacho Viejo,7.8281,-72.3203,Venezuela,VE,Táchira,minor,,
La Plaza de Paraguachí,11.1076,-63.8594,Venezuela,VE,Nueva Esparta,minor,,
Motatán,9.3931,-70.5934,Venezuela,VE,Trujillo,minor,,
Mariara,10.2953,-67.7177,Venezuela,VE,Carabobo,minor,,
San Juan Bautista,11.0142,-63.9451,Venezuela,VE,Nueva Esparta,minor,,
