Institution,City,State,Founded,Type,"Regionally
accredited"
Alabama A&M University,Normal,Alabama,1875,Public,Yes
Alabama State University,Montgomery,Alabama,1867,Public,Yes
Albany State University,Albany,Georgia,1903,Public,Yes
Alcorn State University,Lorman,Mississippi,1871,Public,Yes
Allen University,Columbia,South Carolina,1870,Private,Yes
American Baptist College,Nashville,Tennessee,1924,Private,Yes
University of Arkansas at Pine Bluff,Pine Bluff,Arkansas,1873,Public,Yes
Arkansas Baptist College,Little Rock,Arkansas,1884,Private,Yes
Barber–Scotia College,Concord,North Carolina,1867,Private,No
Benedict College,Columbia,South Carolina,1870,Private,Yes
Bennett College,Greensboro,North Carolina,1873,Private,Yes
Bethune–Cookman University,Daytona Beach,Florida,1904,Private,Yes
Bishop State Community College,Mobile,Alabama,1927,Public,Yes
Bluefield State University,Bluefield,West Virginia,1895,Public,Yes
Bowie State University,Bowie,Maryland,1865,Public,Yes
Central State University,Wilberforce,Ohio,1887,Public,Yes
Cheyney University of Pennsylvania,Cheyney,Pennsylvania,1837,Public,Yes
Claflin University,Orangeburg,South Carolina,1869,Private,Yes
Clark Atlanta University,Atlanta,Georgia,1865,Private,Yes
Clinton College,Rock Hill,South Carolina,1894,Private,Yes
Coahoma Community College,Coahoma County,Mississippi,1924,Public,Yes
Coppin State University,Baltimore,Maryland,1900,Public,Yes
Delaware State University,Dover,Delaware,1891,Public,Yes
Denmark Technical College,Denmark,South Carolina,1947,Public,Yes
Dillard University,New Orleans,Louisiana,1869,Private,Yes
University of the District of Columbia,Washington,District of Columbia,1851,Public,Yes
Edward Waters University,Jacksonville,Florida,1866,Private,Yes
Elizabeth City State University,Elizabeth City,North Carolina,1891,Public,Yes
Fayetteville State University,Fayetteville,North Carolina,1867,Public,Yes
Fisk University,Nashville,Tennessee,1866,Private,Yes
Florida A&M University,Tallahassee,Florida,1887,Public,Yes
Florida Memorial University,Miami Gardens,Florida,1879,Private,Yes
Fort Valley State University,Fort Valley,Georgia,1895,Public,Yes
Gadsden State Community College,Gadsden,Alabama,1925,Public,Yes
Grambling State University,Grambling,Louisiana,1901,Public,Yes
Hampton University,Hampton,Virginia,1868,Private,Yes
Harris–Stowe State University,St. Louis,Missouri,1857,Public,Yes
Hinds Community College at Utica,Utica,Mississippi,1903,Public,Yes
Howard University,Washington,District of Columbia,1867,Private,Yes
Huston–Tillotson University,Austin,Texas,1875,Private,Yes
Interdenominational Theological Center,Atlanta,Georgia,1958,Private,Yes
J. F. Drake State Technical College,Huntsville,Alabama,1961,Public,Yes
Jackson State University,Jackson,Mississippi,1877,Public,Yes
Jarvis Christian University,Hawkins,Texas,1912,Private,Yes
Johnson C. Smith University,Charlotte,North Carolina,1867,Private,Yes
